ref_area,indicator,source,classif1,time,obs_value,note_source
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2006,1.17,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2006,7.43,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2006,1.5,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2006,0,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2006,1.71,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2006,0.01,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2006,3.11,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2006,3.61,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2006,3,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2006,2.13,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2007,5.39,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2007,13.67,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2007,11.19,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2007,4.44,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2007,5.51,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2007,4.59,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2007,-2.71,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2007,7.09,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2007,2.29,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2007,8.73,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2007,6,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2007,6.42,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2007,-0.23,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2008,8.96,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2008,11.16,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2008,3.46,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2008,7.09,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2008,13.79,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2008,3.73,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2008,13.13,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2008,11.31,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2008,-0.35,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2008,4.38,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2008,8,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2008,2.34,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2008,3.48,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2009,-2.14,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2009,4.62,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2009,4.61,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2009,0.23,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2009,-8.2,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2009,2.56,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2009,1.95,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2009,-6.54,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2009,-0.95,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2009,2.44,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2009,-4.38,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2009,7.32,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2009,2.78,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2010,2.08,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2010,-2.29,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2010,-1.04,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2010,-5.31,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2010,9.43,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2010,-1.2,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2010,-0.74,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2010,1.95,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2010,0.71,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2010,-0.39,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2010,1.1,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2010,-0.24,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2010,-0.66,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2011,4.32,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2011,4.29,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2011,10.7,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2011,-1.42,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2011,7.16,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2011,-0.37,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2011,-0.83,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2011,7.42,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2011,3.08,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2011,1.95,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2011,3.49,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2011,1.58,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2011,0.52,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2012,0.63,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2012,2.66,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP02,2012,2.44,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP03,2012,-7.2,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP04,2012,0.81,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP05,2012,-4.15,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP06,2012,1.58,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP07,2012,3.28,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP08,2012,1.31,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP09,2012,-2.01,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP10,2012,1.97,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP11,2012,4.78,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP12,2012,0.24,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01T12,2013,-2.37,R1:3139
ABW,CPI_NCYR_COI_RT,GA:2314,COI_COICOP_CP01,2013,0.18,R1:3139
